town,state,year (default to earliest date),subject,creator,type,year_restored,fig_num (in Lipman),Signed?
New York,NY,1799,Mrs. Silas Lee,Charles Balthazar Fevret de Saint-Memin,charcoal,,,
Portland,ME,1800,Prentiss Mellen,"John Brewster, Jr.",watercolor,NA,,
Portland,ME,1805,"Joseph McKeen, President of Bowdoin College",William King,silhouette,1940,"60, color plate 3, color plate 5",
New Haven,CT,1809,Gideon Tomlinson,Samuel F.B. Morse,watercolor,NA,"55, 56, color plate 1, color plate 2",
Portland,ME,1815,Child of the Lane Family,Rufus Porter,watercolor,NA,,
Portland,ME,1815,Thomas Long,Rufus Porter,watercolor,NA,,
Middleboro,MA,1815,Besty Long Ellis,Rufus Porter,watercolor,NA,"63, 64",
Acton,MA,1818,Mercy Davies,Rufus Porter,watercolor,1964,,
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,watercolor,NA,"61, 62",
Cambridge,MA,1819,Israel Porter,Rufus Porter,watercolor,NA,,
Gorham,ME,1819,Mary Gorham Irish,Rufus Porter,watercolor,1941,,
Lexington,MA,1820,Lot Robbins,Rufus Porter,watercolor,NA,,
Hopkinton,MA,1820,Judith Carter,Rufus Porter,watercolor,NA,,
Hopkinton,MA,1820,Timothy Carter,Rufus Porter,watercolor,NA,"color plate 6, color plate 7",
Cooperstown,NY,1820,Mrs. Cooper,Rufus Porter,watercolor,NA,,
Cooperstown,NY,1820,Mr. Cooper,Rufus Porter,watercolor,NA,,
Haverhill,MA,1821,Eliza Greenleaf,Rufus Porter,watercolor,1955,,
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,watercolor,NA,"45, 69",
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,watercolor,NA,,
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,gouache,NA,,
North Haverhill,NH,1825,Harold Kimball,Porter,fresco,NA,,
North Haverhill,NH,1825,Leslie Lackie,Porter,fresco,NA,,
Portland,ME,1827,Deacon John Bailey,Porter,fresco,NA,,
Portland,ME,1827,Ellis Place,Porter,fresco,NA,,
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,watercolor,NA,,
