town,state,year,subject,creator,type,attribution,image,fig_num
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,,NA
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,,NA
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,,NA
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,,NA
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,,NA
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,,NA
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,,NA
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,,NA
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,,NA
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,,NA
Haverhill,MA,1821,Eliza Greenleaf Plummer,Rufus Porter,portrait,Bowdoin,,NA
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,portrait,Bowdoin,,NA
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,portrait,Bowdoin,,NA
Lexington,MA,1820,Lot Robbins,Rufus Porter,portrait,Bowdoin,,NA
Portland,ME,1815,Child of the Lane Family,Rufus Porter,portrait,Bowdoin,,NA
Portland,ME,1815,Thomas Long,Rufus Porter,portrait,Bowdoin,,NA
Harvard,MA,1830,Fruitlands Museums,Porter School,mural,Fruitlands Museums,,color plate 8
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,,
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,,
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,,
Bedford,MA,1830,Jonas Monroe House,Porter School,mural,Lipman,,
Bedford,MA,1830,Dutton House,Porter School,mural,Lipman,,
Bedford,MA,1830,Carroll Dunham House,Porter School,mural,Lipman,,
Bedford,MA,1830,Job Lane House,Porter School,mural,Lipman,,
Billerica,MA,1830,Donald Schult House,Porter School,mural,Lipman,,
Billerica,MA,1830,Lyons House,Porter School,mural,Lipman,,
Billerica,MA,1830,Dyer House,Porter School,mural,Lipman,,
Billerica,MA,1830,Manning Manse,Porter School,mural,Lipman,,
