town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,NA,NA,"Acton, MA","<b> Acton, MA </b> <br> Rufus Porter <br> Mercy Davies","c(-71.4320768010641, 42.4812076698397)",portrait
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Hannah Trow Flagg","c(-71.1322349229836, 42.661995772744)",portrait
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Timothy Flagg","c(-71.1420232982382, 42.6649303189192)",portrait
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Martha Swan Flagg","c(-71.1334853797034, 42.6464469907168)",portrait
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> John Flagg","c(-71.1427861596252, 42.6550549415186)",portrait
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Rufus Porter <br> Reuben Bacon, Jr.","c(-71.280875878621, 42.490104217042)",portrait
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,NA,NA,"Boston, MA","<b> Boston, MA </b> <br> Rufus Porter <br> Volunteer Infantry or Light Infantry Company Member","c(-71.0520690285822, 42.3519929930212)",portrait
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b> Cambridge, MA </b> <br> Rufus Porter <br> Sarah Warland Porter","c(-71.112878859357, 42.370022837421)",portrait
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b> Cambridge, MA </b> <br> Rufus Porter <br> Israel Porter","c(-71.1062544407887, 42.360070070578)",portrait
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,NA,NA,"Chelmsford, MA","<b> Chelmsford, MA </b> <br> Rufus Porter <br> Jonathan Smith and Pamelia Moors","c(-71.3695534513649, 42.5888099156593)",portrait
Haverhill,MA,1821,Eliza Greenleaf Plummer,Rufus Porter,portrait,Bowdoin,NA,NA,"Haverhill, MA","<b> Haverhill, MA </b> <br> Rufus Porter <br> Eliza Greenleaf Plummer","c(-71.0763094138137, 42.7715506999816)",portrait
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b> Lawrence, MA </b> <br> Rufus Porter <br> Jane Noyes Gage","c(-71.1727152395273, 42.7093656549049)",portrait
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b> Lawrence, MA </b> <br> Rufus Porter <br> Joseph Nichols Gage","c(-71.1592351943936, 42.7187235684544)",portrait
Lexington,MA,1820,Lot Robbins,Rufus Porter,portrait,Bowdoin,NA,NA,"Lexington, MA","<b> Lexington, MA </b> <br> Rufus Porter <br> Lot Robbins","c(-71.2283127324816, 42.4493212593442)",portrait
Portland,ME,1815,Child of the Lane Family,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Rufus Porter <br> Child of the Lane Family","c(-70.2549761932714, 43.649754163044)",portrait
Portland,ME,1815,Thomas Long,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Rufus Porter <br> Thomas Long","c(-70.2598672356229, 43.6622642682672)",portrait
Harvard,MA,1830,Fruitlands Museums,Porter School,mural,Fruitlands Museums,NA,color plate 8,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Fruitlands Museums","c(-71.5854641747608, 42.4952099986073)",school
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,NA,NA,"Amesbury, MA","<b> Amesbury, MA </b> <br> Porter School <br> Bartlett House","c(-70.9264585341292, 42.8475548092235)",school
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Porter School <br> Poor-Perry House","c(-71.1299932262005, 42.652775663219)",school
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Penniman-Stearns House","c(-71.2739177283861, 42.5026302983237)",school
Bedford,MA,1830,Jonas Monroe House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Jonas Monroe House","c(-71.2821729577595, 42.4781431168521)",school
Bedford,MA,1830,Dutton House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Dutton House","c(-71.2837701480521, 42.4915374844054)",school
Bedford,MA,1830,Carroll Dunham House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Carroll Dunham House","c(-71.2799109087743, 42.4994469017498)",school
Bedford,MA,1830,Job Lane House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Job Lane House","c(-71.2690459738762, 42.4919515759771)",school
Billerica,MA,1830,Donald Schult House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Donald Schult House","c(-71.262590575056, 42.5659250786609)",school
Billerica,MA,1830,Lyons House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Lyons House","c(-71.2701419476905, 42.5507164093539)",school
Billerica,MA,1830,Dyer House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Dyer House","c(-71.2752703744248, 42.5606500079319)",school
Billerica,MA,1830,Manning Manse,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Manning Manse","c(-71.2717060463594, 42.5459507407233)",school
Boston,MA,1843,Beacon Hill Boarding House,Porter School,mural,Lipman,NA,NA,"Boston, MA","<b> Boston, MA </b> <br> Porter School <br> Beacon Hill Boarding House","c(-71.0624985698453, 42.3621656749975)",school
Charlestown,MA,1835,Levi Prosser House,Porter School,mural,Lipman,NA,NA,"Charlestown, MA","<b> Charlestown, MA </b> <br> Porter School <br> Levi Prosser House","c(-71.05985142121, 42.3872048976649)",school
East Haverhill,MA,1830,Ingalls-Colby House,Porter School,mural,Lipman,NA,72,"East Haverhill, MA","<b> East Haverhill, MA </b> <br> Porter School <br> Ingalls-Colby House","c(-71.1079409157792, 42.763838991299)",school
East Peperell,MA,1824,Coburn Tavern,Porter School,mural,Lipman,NA,NA,"East Peperell, MA","<b> East Peperell, MA </b> <br> Porter School <br> Coburn Tavern","c(-71.5818478338216, 42.667888790073)",school
East Weymouth,MA,1845,Senigo House,Porter School,mural,Lipman,NA,NA,"East Weymouth, MA","<b> East Weymouth, MA </b> <br> Porter School <br> Senigo House","c(-70.9339236814618, 42.2199293976812)",school
Georgetown,MA,1832,G. Arthur Merrill House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> G. Arthur Merrill House","c(-70.991679672033, 42.7118139346761)",school
Georgetown,MA,1832,Pingree House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Pingree House","c(-70.9830012542438, 42.7204700156248)",school
Georgetown,MA,1832,Pierce House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Pierce House","c(-70.9990821768293, 42.7192642595421)",school
Georgetown,MA,1832,Ethel M. Fredrick House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Ethel M. Fredrick House","c(-70.9941283951821, 42.7145489440886)",school
Georgetown,MA,1832,John C. Wilkins House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> John C. Wilkins House","c(-70.9826390350719, 42.7346485274535)",school
Groton,MA,1835,Dr. Harold Ayers House,Jonathan D. Poor,mural,Lipman,NA,NA,"Groton, MA","<b> Groton, MA </b> <br> Jonathan D. Poor <br> Dr. Harold Ayers House","c(-71.5679911122567, 42.6091272793874)",jdp
Groveland,MA,1830,Harold Stacey House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Harold Stacey House","c(-71.0303008988368, 42.7618700847406)",school
Groveland,MA,1830,Savery Homestead,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Savery Homestead","c(-71.023888603956, 42.7564900506355)",school
Groveland,MA,1830,Spofford House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Spofford House","c(-71.0248619246825, 42.7678873710159)",school
Groveland,MA,1830,Edna Worthing Cottage,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Edna Worthing Cottage","c(-71.0388862200657, 42.7565421388323)",school
Harvard,MA,1830,Joseph E. Lamborghini House,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Joseph E. Lamborghini House","c(-71.5841077496813, 42.4907702876148)",school
Harvard,MA,1830,R. Raynond Warren Apartments,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> R. Raynond Warren Apartments","c(-71.5767552433466, 42.497443381877)",school
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Wallace F. Bryant Estate Apartments (Whitney house)","c(-71.5878653114978, 42.487406082702)",school
Lexington,MA,1830,Joshua Simons House,Porter School,mural,Lipman,NA,NA,"Lexington, MA","<b> Lexington, MA </b> <br> Porter School <br> Joshua Simons House","c(-71.2298647165161, 42.4445329204428)",school
Lunenburg,MA,1830,Faith Gardner House,Porter School,mural,Lipman,NA,76,"Lunenburg, MA","<b> Lunenburg, MA </b> <br> Porter School <br> Faith Gardner House","c(-71.7169756321306, 42.5850803554738)",school
Merrimac,MA,1830,Sargent House,Porter School,mural,Lipman,NA,NA,"Merrimac, MA","<b> Merrimac, MA </b> <br> Porter School <br> Sargent House","c(-71.0013933727862, 42.8428992938396)",school
Merrimacport,MA,1830,Ronald Shaw HOuse,Porter School,mural,Lipman,NA,NA,"Merrimacport, MA","<b> Merrimacport, MA </b> <br> Porter School <br> Ronald Shaw HOuse","c(-70.9943401635806, 42.8272579448631)",school
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter School,mural,Lipman,NA,color plate 9,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Van Heusen Seventeenth-Century Farms","c(-71.088568190732, 42.5754427713066)",school
North Reading,MA,1835,Frances Shay Mague House,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Frances Shay Mague House","c(-71.0727289103044, 42.5830076619833)",school
North Reading,MA,1835,Weeks Memorial Library,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Weeks Memorial Library","c(-71.078378387955, 42.5824413199223)",school
North Reading,MA,1835,House near Route 28,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> House near Route 28","c(-71.070886755464, 42.5675196788498)",school
Townsend,MA,1830,Charles A. Smith House,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b> Townsend, MA </b> <br> Porter School <br> Charles A. Smith House","c(-71.7034220422382, 42.6663264286532)",school
Townsend,MA,1830,Reed Mansion,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b> Townsend, MA </b> <br> Porter School <br> Reed Mansion","c(-71.7023150570709, 42.6650751388618)",school
Wakefield,MA,1835,Winn House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Winn House","c(-71.0647280259311, 42.5050360459268)",school
Wakefield,MA,1835,Franklin Poole House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Franklin Poole House","c(-71.0668796792224, 42.5067889657416)",school
Wakefield,MA,1835,Lilly Eaton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Lilly Eaton House","c(-71.0663581363585, 42.499987034947)",school
Wakefield,MA,1835,Thomas Walton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Thomas Walton House","c(-71.0726924764231, 42.5120343606361)",school
Wakefield,MA,1835,Kenneth Odiorne House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Kenneth Odiorne House","c(-71.0815870162279, 42.5059538243958)",school
West Boxford,MA,1838,John A. Andrew House,Porter School,mural,Lipman,NA,color plate 12,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> John A. Andrew House","c(-71.0653918630649, 42.6948519816566)",school
West Boxford,MA,1838,Joseph Burgson House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> Joseph Burgson House","c(-71.0729178943079, 42.7053581160605)",school
West Boxford,MA,1838,Hovey House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> Hovey House","c(-71.0607988871388, 42.7102070119845)",school
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Reuben Guild House","c(-71.2230552382581, 42.2153354745631)",rp_mural
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Allen House","c(-71.2277177784142, 42.2142400141455)",rp_mural
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,NA,NA,"Bridgton, ME","<b> Bridgton, ME </b> <br> Porter School <br> Deacon Libby House","c(-70.7101311281727, 44.0614931073119)",school
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,NA,NA,"Bryant Pond, ME","<b> Bryant Pond, ME </b> <br> Jonathan D. Poor <br> Whitman Homestead","c(-70.5903047043016, 44.4069064629884)",jdp
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> Carroll Rounds House","c(-70.5274378956407, 43.6300459757032)",school
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> A.I. Poulsen House","c(-70.5121462222824, 43.6510102689041)",school
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,"color plate 14, color plate 15","Fryeburg, ME","<b> Fryeburg, ME </b> <br> Rufus Porter and Jonathan D. Poor <br> Barrows Homestead","c(-70.9900151166589, 44.0173183401956)",rp_mural
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,NA,NA,"Fryeburg, ME","<b> Fryeburg, ME </b> <br> Porter School <br> Warren-Towle House","c(-70.9892311674498, 44.0091728384094)",school
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Porter School <br> Dr. Files House","c(-70.4418179392468, 43.6671959052221)",school
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Granville Fernald <br> Fox House","c(-70.4393625929367, 43.6851234446404)",other
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,NA,"70, 71","Hollis Center, ME","<b> Hollis Center, ME </b> <br> Porter School <br> Quillcote","c(-70.6217772145862, 43.6392955573805)",school
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> H.O. Wood House","c(-70.2241013323997, 44.0953712901568)",other
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> Howard W. Mann House","c(-70.2211776031556, 44.0935191355389)",other
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,NA,NA,"Monmouth, ME","<b> Monmouth, ME </b> <br> Porter School <br> Simon Martson House","c(-70.034425965297, 44.227309326641)",school
Parsonfield,ME,1830,Dalton House,Paine,mural,Lipman,NA,NA,"Parsonfield, ME","<b> Parsonfield, ME </b> <br> Paine <br> Dalton House","c(-70.9373895731003, 43.7178056125432)",other
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Deacon John Bailey House","c(-70.2543733489325, 43.6661911543374)",school
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Ellis Place","c(-70.258332987438, 43.6575767137633)",school
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,NA,NA,"Rumford, ME","<b> Rumford, ME </b> <br> Jonathan D. Poor <br> Phil Baker House","c(-70.5508013585872, 44.5544999130469)",jdp
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,"61, 62","Sebec, ME","<b> Sebec, ME </b> <br> Rufus Porter and Moses Eaton, Jr. <br> Ellerton Jette House","c(-69.1127098346272, 45.2810131258036)",rp_mural
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,NA,NA,"South Bridgton, ME","<b> South Bridgton, ME </b> <br> Porter School <br> Ingalls House","c(-70.7146827676318, 44.0040792008181)",school
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Captain Leavitt House","c(-70.2540084106346, 44.2622016411616)",other
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Unidentified House","c(-70.2529278527693, 44.2563787488439)",other
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,NA,93,"Webster Corner, ME","<b> Webster Corner, ME </b> <br> Orison Wood <br> Cushman Tavern","c(-70.0909355705239, 44.0528387117387)",other
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,NA,NA,"West Auburn, ME","<b> West Auburn, ME </b> <br> Orison Wood <br> Otis B. Tibbets House","c(-70.289821300529, 44.1434034380867)",other
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Leon H. Marr House","c(-70.0114310262083, 44.4542254931703)",jdp
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Unidentified House","c(-70.0182422686673, 44.4546674086832)",jdp
Westbrook,ME,1830,Zebulon Trickey House,Porter School,mural,Lipman,NA,NA,"Westbrook, ME","<b> Westbrook, ME </b> <br> Porter School <br> Zebulon Trickey House","c(-70.3669112529151, 43.6677146008163)",school
Westbrook,ME,1851,Pride House,Granville Fernald,mural,Lipman,NA,NA,"Westbrook, ME","<b> Westbrook, ME </b> <br> Granville Fernald <br> Pride House","c(-70.3765926131167, 43.6699794145462)",other
