subject,year,location,type
Child of the Lane Family,1815,"Portland, ME",watercolor
Thomas Long,1815,"Portland, ME",watercolor
Besty Long Ellis,1815,"Middleboro, MA",watercolor
Mercy Davies,1818,"Acton, MA",watercolor
Sarah Warland Porter,1819,"Cambridge, MA",watercolor
Israel Porter,1819,"Cambridge, MA",watercolor
Mary Gorham Irish,1819,"Gorham, ME",watercolor
Lot Robbins,1820,"Lexington, MA",watercolor
Judith Carter,1820,"Hopkinton, MA",watercolor
Timothy Carter,1820,"Hopkinton, MA",watercolor
Mrs. Cooper,1820,"Cooperstown, NY",watercolor
Mr. Cooper,1820,"Cooperstown, NY",watercolor
Eliza Greenleaf,1821,"Haverhill, MA",watercolor
Jonathan Smith and Pamelia Moors,1825,"Chelmsford, MA",watercolor
Nathan Peabody Ames,1825,"Chelmsford, MA",watercolor
Volunteer Infantry or Light Infantry Company Member,1825,"Boston, MA",gouache
Harold Kimball,1825,"North Haverhill, NH",fresco
Leslie Lackie,1825,"North Haverhill, NH",fresco
Deacon John Bailey,1827,"Portland, ME",fresco
Ellis Place,1827,"Portland, ME",fresco
Hannah Trow Flagg,1830,"Andover, MA",watercolor
Timothy Flagg,1830,"Andover, MA",watercolor
Martha Swan Flagg,1830,"Andover, MA",watercolor
John Flagg,1830,"Andover, MA",watercolor
"Reuben Bacon, Jr.",1830,"Bedford, MA",watercolor
Bartlett,1830,"Amesbury, MA",fresco
Penniman-Stearns,1830,"Bedford, MA",fresco
Jonas Monroe,1830,"Bedford, MA",fresco
Dutton,1830,"Bedford, MA",fresco
Carroll Dunham,1830,"Bedford, MA",fresco
Job Lane,1830,"Bedford, MA",fresco
Donald Schult,1830,"Billerica, MA",fresco
Lyons,1830,"Billerica, MA",fresco
Dyer,1830,"Billerica, MA",fresco
Manning Manse,1830,"Billerica, MA",fresco
Ingalls-Colby,1830,"East Haverhill, MA",fresco
Harold Stacey,1830,"Groveland, MA",fresco
Savery Homestead,1830,"Groveland, MA",fresco
Spofford,1830,"Groveland, MA",fresco
Edna Worthing Cottage,1830,"Groveland, MA",fresco
Joseph E. Lamborghini,1830,"Harvard, MA",fresco
R. Raynond Warren Apartments,1830,"Harvard, MA",fresco
Wallace F. Bryant Estate Apartments (Whitney house),1830,"Harvard, MA",fresco
Fruitlands Museums,1830,"Harvard, MA",fresco
Joshua Simons,1830,"Lexington, MA",fresco
Faith Gardner,1830,"Lunenburg, MA",fresco
Sargent,1830,"Merrimac, MA",fresco
Ronald Shaw,1830,"Merrimacport, MA",fresco
Oliver Wight,1830,"Sturbridge, MA",fresco
Charles A. Smith,1830,"Townsend, MA",fresco
Reed Mansion,1830,"Townsend, MA",fresco
Deacon Libby,1830,"Bridgton, ME",fresco
Carroll Rounds,1830,"Buxton, ME",fresco
A.I. Poulsen,1830,"Buxton, ME",fresco
Thompkins,1830,"Cornish, ME",fresco
Barrows Homestead,1830,"Fryeburg, ME",fresco
Warren-Towle,1830,"Fryeburg, ME",fresco
Dr. Files,1830,"Gorham, ME",fresco
Quillcote,1830,"Hollis Center, ME",fresco
Simon Martson,1830,"Monmouth, ME",fresco
Ingalls,1830,"South Bridgton, ME",fresco
Zebulon Trickey,1830,"Westbrook, ME",fresco
Captain Samuel Benjamin,1830,"Winthrop, ME",fresco
Elwin Chase,1831,"Topsham, VT",fresco
G. Arthur Merrill,1832,"Georgetown, MA",fresco
Pingree,1832,"Georgetown, MA",fresco
Pierce,1832,"Georgetown, MA",fresco
Ethel M. Fredrick,1832,"Georgetown, MA",fresco
John C. Wilkins,1832,"Georgetown, MA",fresco
Lottie Hills,1835,"Plainville, CT",watercolor
Poor-Perry,1835,"Andover, MA",fresco
Levi Prosser,1835,"Charlestown, MA",fresco
Van Heusen Seventeenth-Century Farms,1835,"North Reading, MA",fresco
Frances Shay Mague,1835,"North Reading, MA",fresco
Weeks Memorial Library,1835,"North Reading, MA",fresco
House near Route 28,1835,"North Reading, MA",fresco
Emerson,1835,"Wakefield, MA",fresco
Winn,1835,"Wakefield, MA",fresco
Franklin Poole,1835,"Wakefield, MA",fresco
Lilly Eaton,1835,"Wakefield, MA",fresco
Thomas Walton,1835,"Wakefield, MA",fresco
Kenneth Odiorne,1835,"Wakefield, MA",fresco
Shaker Glenn Inn,1835,"Woburn, MA",fresco
Jane Noyes Gage,1838,"Lawrence, MA",watercolor
Joseph Nichols Gage,1838,"Lawrence, MA",watercolor
John A. Andrew,1838,"West Boxford, MA",fresco
Joseph Burgson,1838,"West Boxford, MA",fresco
Hovey,1838,"West Boxford, MA",fresco
Dr. Francis Howe,1838,"Westwood, MA",fresco
E.A. West,1838,"Westwood, MA",fresco
Reuben Guild,1838,"Westwood, MA",fresco
Storer Ware,1838,"Westwood, MA",fresco
Allen,1838,"Westwood, MA",fresco
Beacon Hill Boarding House,1843,"Boston, MA",fresco
Senigo,1845,"East Weymouth, MA",fresco
