location,subject,year,creator,type,attribution,image,img_src
"Portland, ME",Child of the Lane Family,1815,Rufus Porter,portrait,Bowdoin,NA,NA
"Portland, ME",Thomas Long,1815,Rufus Porter,portrait,Bowdoin,NA,NA
"Acton, MA",Mercy Davies,1818,Rufus Porter,portrait,Bowdoin,NA,NA
"Cambridge, MA",Sarah Warland Porter,1819,Rufus Porter,portrait,Bowdoin,NA,NA
"Cambridge, MA",Israel Porter,1819,Rufus Porter,portrait,Bowdoin,NA,NA
"Lexington, MA",Lot Robbins,1820,Rufus Porter,portrait,Bowdoin,NA,NA
"Haverhill, MA",Eliza Greenleaf Plummer,1821,Rufus Porter,portrait,Bowdoin,NA,NA
"Boston, MA",Volunteer Infantry or Light Infantry Company Member,1825,Rufus Porter,portrait,Bowdoin,NA,NA
"Chelmsford, MA",Jonathan Smith and Pamelia Moors,1825,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne"
"Andover, MA",Hannah Trow Flagg,1830,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne"
"Andover, MA",Timothy Flagg,1830,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne"
"Andover, MA",Martha Swan Flagg,1830,Rufus Porter,portrait,Bowdoin,NA,NA
"Andover, MA",John Flagg,1830,Rufus Porter,portrait,Bowdoin,NA,NA
"Bedford, MA","Reuben Bacon, Jr.",1830,Rufus Porter,portrait,Bowdoin,NA,NA
"Lawrence, MA",Jane Noyes Gage,1838,Rufus Porter,portrait,Bowdoin,NA,NA
"Lawrence, MA",Joseph Nichols Gage,1838,Rufus Porter,portrait,Bowdoin,NA,NA
"Harvard, MA",Fruitlands Museums,1830,Porter School,mural,Fruitlands Museums,NA,NA
"East Peperell, MA",Coburn Tavern,1824,Porter School,mural,Lipman,NA,NA
