subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,geometry
Child of the Lane Family,1815,"Portland, ME",Rufus Porter,portrait,Bowdoin,portrait,rp,43.6599061686243,-70.2584243781067,"<b>Child of the Lane Family</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1815<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6599061686243, -70.2584243781067)"
Thomas Long,1815,"Portland, ME",Rufus Porter,portrait,Bowdoin,portrait,rp,43.6623883379148,-70.2456369287399,"<b>Thomas Long</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1815<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(43.6623883379148, -70.2456369287399)"
Mercy Davies,1818,"Acton, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.4871935810466,-71.4410535138134,"<b>Mercy Davies</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1818<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4871935810466, -71.4410535138134)"
Sarah Warland Porter,1819,"Cambridge, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.3750860583463,-71.1061590615574,"<b>Sarah Warland Porter</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1819<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.3750860583463, -71.1061590615574)"
Israel Porter,1819,"Cambridge, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.3708916490906,-71.1120820816055,"<b>Israel Porter</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1819<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.3708916490906, -71.1120820816055)"
Lot Robbins,1820,"Lexington, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.4463317186025,-71.2197639298716,"<b>Lot Robbins</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1820<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4463317186025, -71.2197639298716)"
Eliza Greenleaf Plummer,1821,"Haverhill, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.7789739152819,-71.0742578702247,"<b>Eliza Greenleaf Plummer</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1821<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7789739152819, -71.0742578702247)"
Volunteer Infantry or Light Infantry Company Member,1825,"Boston, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.3601553377091,-71.069591542406,"<b>Volunteer Infantry or Light Infantry Company Member</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.3601553377091, -71.069591542406)"
Jonathan Smith and Pamelia Moors,1825,"Chelmsford, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.5976780891081,-71.3557778942787,"<b>Jonathan Smith and Pamelia Moors</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1825<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg', width = '200'><br><small>Image from ""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","c(42.5976780891081, -71.3557778942787)"
Hannah Trow Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.654982566345,-71.1287518658871,"<b>Hannah Trow Flagg</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1830<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg', width = '200'><br><small>Image from ""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","c(42.654982566345, -71.1287518658871)"
Timothy Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6559863696464,-71.1294063584025,"<b>Timothy Flagg</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1830<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg', width = '200'><br><small>Image from ""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","c(42.6559863696464, -71.1294063584025)"
Martha Swan Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6602819168669,-71.1393146305434,"<b>Martha Swan Flagg</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.6602819168669, -71.1393146305434)"
John Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6586601392443,-71.1293019262444,"<b>John Flagg</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.6586601392443, -71.1293019262444)"
"Reuben Bacon, Jr.",1830,"Bedford, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.4944344068273,-71.2774967358181,"<b>Reuben Bacon, Jr.</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.4944344068273, -71.2774967358181)"
Jane Noyes Gage,1838,"Lawrence, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.7033290438503,-71.1677216944566,"<b>Jane Noyes Gage</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7033290438503, -71.1677216944566)"
Joseph Nichols Gage,1838,"Lawrence, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.7069588368466,-71.1599737895233,"<b>Joseph Nichols Gage</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.7069588368466, -71.1599737895233)"
Fruitlands Museums,1830,"Harvard, MA",Porter School,mural,Fruitlands Museums,school,school,42.5010360887621,-71.5885851589498,"<b>Fruitlands Museums</b><br>Attributed to  Porter School<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.5010360887621, -71.5885851589498)"
Coburn Tavern,1824,"East Peperell, MA",Porter School,mural,Lipman,school,school,42.6638247868577,-71.5660853259583,"<b>Coburn Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.6638247868577, -71.5660853259583)"
Ellerton Jette House,1824,"Sebec, ME","Rufus Porter and Moses Eaton, Jr.",mural,Lipman,rp_mural,rp,45.2715247999548,-69.1161685088281,"<b>Ellerton Jette House</b><br>Attributed to Rufus Porter and Moses Eaton, Jr. by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(45.2715247999548, -69.1161685088281)"
Prescott Tavern,1824,"East Jaffrey, NH",Porter School,mural,Lipman,school,school,42.8130341698397,-72.033447628527,"<b>Prescott Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg', width = '200'><br><small>Image from Wikimedia Commons</small>",https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg,Wikimedia Commons,"c(42.8130341698397, -72.033447628527)"
Don Pierce House,1824,"East Jaffrey, NH",Porter School,mural,Lipman,school,school,42.8152651674523,-72.0330282514742,"<b>Don Pierce House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.8152651674523, -72.0330282514742)"
Miss Mary and Dr. Fredrika Moore House,1824,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9729516872059,-71.9748258821032,"<b>Miss Mary and Dr. Fredrika Moore House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",NA,NA,"c(42.9729516872059, -71.9748258821032)"
