subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Child of the Lane Family,Portland,ME,1815,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b>Child of the Lane Family</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1815<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,43.6631850995032,-70.2661331166382,"c(43.6631850995032, -70.2661331166382)"
Thomas Long,Portland,ME,1815,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b>Thomas Long</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1815<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,43.6611105035833,-70.2563910223965,"c(43.6611105035833, -70.2563910223965)"
Mercy Davies,Acton,MA,1818,Rufus Porter,portrait,Bowdoin,NA,NA,"Acton, MA","<b>Mercy Davies</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1818<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.4863201454881,-71.4331166789139,"c(42.4863201454881, -71.4331166789139)"
Sarah Warland Porter,Cambridge,MA,1819,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b>Sarah Warland Porter</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1819<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.3733320299848,-71.1143322670268,"c(42.3733320299848, -71.1143322670268)"
Israel Porter,Cambridge,MA,1819,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b>Israel Porter</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1819<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.3728460231462,-71.1220465879056,"c(42.3728460231462, -71.1220465879056)"
Lot Robbins,Lexington,MA,1820,Rufus Porter,portrait,Bowdoin,NA,NA,"Lexington, MA","<b>Lot Robbins</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1820<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.4446456336439,-71.2154048162981,"c(42.4446456336439, -71.2154048162981)"
Eliza Greenleaf Plummer,Haverhill,MA,1821,Rufus Porter,portrait,Bowdoin,NA,NA,"Haverhill, MA","<b>Eliza Greenleaf Plummer</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1821<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.7720042688141,-71.0648981868073,"c(42.7720042688141, -71.0648981868073)"
Volunteer Infantry or Light Infantry Company Member,Boston,MA,1825,Rufus Porter,portrait,Bowdoin,NA,NA,"Boston, MA","<b>Volunteer Infantry or Light Infantry Company Member</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.3576834837858,-71.0459568923437,"c(42.3576834837858, -71.0459568923437)"
Jonathan Smith and Pamelia Moors,Chelmsford,MA,1825,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","Chelmsford, MA","<b>Jonathan Smith and Pamelia Moors</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1825<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg', width = '200'><br><small>Image from ""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne</small>",portrait,RP,42.6035522532629,-71.3577995603806,"c(42.6035522532629, -71.3577995603806)"
Hannah Trow Flagg,Andover,MA,1830,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne","Andover, MA","<b>Hannah Trow Flagg</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1830<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg', width = '200'><br><small>Image from ""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne</small>",portrait,RP,42.6548660190842,-71.1334432552438,"c(42.6548660190842, -71.1334432552438)"
