town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,NA,NA,"Acton, MA","<b> Acton, MA </b> <br> Rufus Porter <br> Mercy Davies","c(-71.4403508606828, 42.4886686174313)",portrait
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Hannah Trow Flagg","c(-71.1361590546768, 42.6686138596963)",portrait
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Timothy Flagg","c(-71.1459437018853, 42.6700162830673)",portrait
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Martha Swan Flagg","c(-71.1365241123515, 42.6535333868073)",portrait
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> John Flagg","c(-71.1311276504579, 42.6480750566554)",portrait
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Rufus Porter <br> Reuben Bacon, Jr.","c(-71.2723155114136, 42.4922060186153)",portrait
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,NA,NA,"Boston, MA","<b> Boston, MA </b> <br> Rufus Porter <br> Volunteer Infantry or Light Infantry Company Member","c(-71.0604131295779, 42.3640681251636)",portrait
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b> Cambridge, MA </b> <br> Rufus Porter <br> Sarah Warland Porter","c(-71.1059605437187, 42.3783132859686)",portrait
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b> Cambridge, MA </b> <br> Rufus Porter <br> Israel Porter","c(-71.100935354341, 42.3734580150784)",portrait
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,NA,NA,"Chelmsford, MA","<b> Chelmsford, MA </b> <br> Rufus Porter <br> Jonathan Smith and Pamelia Moors","c(-71.3668021219338, 42.6079486225166)",portrait
Haverhill,MA,1821,Eliza Greenleaf Plummer,Rufus Porter,portrait,Bowdoin,NA,NA,"Haverhill, MA","<b> Haverhill, MA </b> <br> Rufus Porter <br> Eliza Greenleaf Plummer","c(-71.0847866311384, 42.776682475722)",portrait
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b> Lawrence, MA </b> <br> Rufus Porter <br> Jane Noyes Gage","c(-71.1690111753235, 42.7032724556687)",portrait
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b> Lawrence, MA </b> <br> Rufus Porter <br> Joseph Nichols Gage","c(-71.1716331961985, 42.7171464775053)",portrait
Lexington,MA,1820,Lot Robbins,Rufus Porter,portrait,Bowdoin,NA,NA,"Lexington, MA","<b> Lexington, MA </b> <br> Rufus Porter <br> Lot Robbins","c(-71.2267800956936, 42.4454848330208)",portrait
Portland,ME,1815,Child of the Lane Family,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Rufus Porter <br> Child of the Lane Family","c(-70.2611146936335, 43.6712569311446)",portrait
Portland,ME,1815,Thomas Long,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Rufus Porter <br> Thomas Long","c(-70.2590379972111, 43.66881791826)",portrait
Harvard,MA,1830,Fruitlands Museums,Porter School,mural,Fruitlands Museums,NA,color plate 8,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Fruitlands Museums","c(-71.5802731062773, 42.4868023849863)",school
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,NA,NA,"Amesbury, MA","<b> Amesbury, MA </b> <br> Porter School <br> Bartlett House","c(-70.9304575880536, 42.8600531619168)",school
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Porter School <br> Poor-Perry House","c(-71.1330941895129, 42.6555041329849)",school
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Penniman-Stearns House","c(-71.2763997857142, 42.5031022767945)",school
Bedford,MA,1830,Jonas Monroe House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Jonas Monroe House","c(-71.2786083670017, 42.4872803759906)",school
Bedford,MA,1830,Dutton House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Dutton House","c(-71.2716414495946, 42.4841310281352)",school
Bedford,MA,1830,Carroll Dunham House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Carroll Dunham House","c(-71.2746300057922, 42.5021376028334)",school
Bedford,MA,1830,Job Lane House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Job Lane House","c(-71.2677482715109, 42.5039571506077)",school
Billerica,MA,1830,Donald Schult House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Donald Schult House","c(-71.2765931218581, 42.5531727097925)",school
Billerica,MA,1830,Lyons House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Lyons House","c(-71.2663219142427, 42.5701287541635)",school
Billerica,MA,1830,Dyer House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Dyer House","c(-71.2599973763129, 42.5712473618315)",school
Billerica,MA,1830,Manning Manse,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Manning Manse","c(-71.2606452270988, 42.5639168680658)",school
Boston,MA,1843,Beacon Hill Boarding House,Porter School,mural,Lipman,NA,NA,"Boston, MA","<b> Boston, MA </b> <br> Porter School <br> Beacon Hill Boarding House","c(-71.0494155724866, 42.3577221325429)",school
Charlestown,MA,1835,Levi Prosser House,Porter School,mural,Lipman,NA,NA,"Charlestown, MA","<b> Charlestown, MA </b> <br> Porter School <br> Levi Prosser House","c(-71.0561055344082, 42.3894137387001)",school
East Haverhill,MA,1830,Ingalls-Colby House,Porter School,mural,Lipman,NA,72,"East Haverhill, MA","<b> East Haverhill, MA </b> <br> Porter School <br> Ingalls-Colby House","c(-71.0970601875141, 42.738989558697)",school
East Peperell,MA,1824,Coburn Tavern,Porter School,mural,Lipman,NA,NA,"East Peperell, MA","<b> East Peperell, MA </b> <br> Porter School <br> Coburn Tavern","c(-71.5744182503034, 42.6705177559756)",school
East Weymouth,MA,1845,Senigo House,Porter School,mural,Lipman,NA,NA,"East Weymouth, MA","<b> East Weymouth, MA </b> <br> Porter School <br> Senigo House","c(-70.9381121567708, 42.2055123149757)",school
Georgetown,MA,1832,G. Arthur Merrill House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> G. Arthur Merrill House","c(-70.9888346357087, 42.7311350410135)",school
Georgetown,MA,1832,Pingree House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Pingree House","c(-70.9951695901135, 42.7294112768333)",school
Georgetown,MA,1832,Pierce House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Pierce House","c(-71.0004125531456, 42.7307020049557)",school
Georgetown,MA,1832,Ethel M. Fredrick House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Ethel M. Fredrick House","c(-70.9851373635742, 42.7139999652201)",school
Georgetown,MA,1832,John C. Wilkins House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> John C. Wilkins House","c(-70.9986840729895, 42.7198498919645)",school
Groton,MA,1835,Dr. Harold Ayers House,Jonathan D. Poor,mural,Lipman,NA,NA,"Groton, MA","<b> Groton, MA </b> <br> Jonathan D. Poor <br> Dr. Harold Ayers House","c(-71.5757018501964, 42.6003295961656)",jdp
Groveland,MA,1830,Harold Stacey House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Harold Stacey House","c(-71.0376332387279, 42.7671638308446)",school
Groveland,MA,1830,Savery Homestead,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Savery Homestead","c(-71.0350969463667, 42.7571409245387)",school
Groveland,MA,1830,Spofford House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Spofford House","c(-71.0236207879601, 42.7563764738173)",school
Groveland,MA,1830,Edna Worthing Cottage,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Edna Worthing Cottage","c(-71.0388944032282, 42.7639286292312)",school
