town,state,year,subject,creator,type,attribution,image,fig_num,location
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,NA,NA,"Acton, MA"
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA"
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA"
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA"
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA"
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,NA,NA,"Bedford, MA"
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,NA,NA,"Boston, MA"
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA"
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA"
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,NA,NA,"Chelmsford, MA"
Haverhill,MA,1821,Eliza Greenleaf Plummer,Rufus Porter,portrait,Bowdoin,NA,NA,"Haverhill, MA"
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA"
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA"
Lexington,MA,1820,Lot Robbins,Rufus Porter,portrait,Bowdoin,NA,NA,"Lexington, MA"
Portland,ME,1815,Child of the Lane Family,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME"
Portland,ME,1815,Thomas Long,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME"
Harvard,MA,1830,Fruitlands Museums,Porter School,mural,Fruitlands Museums,NA,color plate 8,"Harvard, MA"
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,NA,NA,"Amesbury, MA"
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,NA,NA,"Andover, MA"
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,NA,NA,"Bedford, MA"
