town,state,year,subject,creator,type,attribution,image,img_src,fig_num,location,popup,lng,lat,icon,choice
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne",NA,"Chelmsford, MA","<b>Jonathan Smith and Pamelia Moors</b><br> Attirbuted to Rufus Porter<br>1825<br><img src= 'NA', width = '200'>",-71.36955345,42.58880992,portrait,RP
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne",NA,"Andover, MA","<b>Hannah Trow Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.13223492,42.66199577,portrait,RP
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne",NA,"Andover, MA","<b>Timothy Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.1420233,42.66493032,portrait,RP
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,NA,,NA,"Acton, MA","<b>Mercy Davies</b><br> Attirbuted to Rufus Porter<br>1818<br><img src= 'NA', width = '200'>",-71.4320768,42.48120767,portrait,RP
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,NA,,NA,"Andover, MA","<b>Martha Swan Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.13348538,42.64644699,portrait,RP
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,NA,,NA,"Andover, MA","<b>John Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.14278616,42.65505494,portrait,RP
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,NA,,NA,"Bedford, MA","<b>Reuben Bacon, Jr.</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.28087588,42.49010422,portrait,RP
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,NA,,NA,"Boston, MA","<b>Volunteer Infantry or Light Infantry Company Member</b><br> Attirbuted to Rufus Porter<br>1825<br><img src= 'NA', width = '200'>",-71.05206903,42.35199299,portrait,RP
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,NA,,NA,"Cambridge, MA","<b>Sarah Warland Porter</b><br> Attirbuted to Rufus Porter<br>1819<br><img src= 'NA', width = '200'>",-71.11287886,42.37002284,portrait,RP
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,NA,,NA,"Cambridge, MA","<b>Israel Porter</b><br> Attirbuted to Rufus Porter<br>1819<br><img src= 'NA', width = '200'>",-71.10625444,42.36007007,portrait,RP
