subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,on_view,geometry
Mercy Davies,1818,"Acton, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.4831854413691,-71.4416147227834,"<b>Mercy Davies</b><br>Acton, MA, circa 1818<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSwo7oq2MvLhuvhg8DwhAxUZjMP36GiC4tmjpXm6S4RjYwfymcofM-lYUb7gXKjFmLo79N4SEuR2BYz/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vSwo7oq2MvLhuvhg8DwhAxUZjMP36GiC4tmjpXm6S4RjYwfymcofM-lYUb7gXKjFmLo79N4SEuR2BYz/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.4831854413691, -71.4416147227834)"
Hannah Trow Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6594150831428,-71.1243087253846,"<b>Hannah Trow Flagg</b><br>Andover, MA, circa 1830<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg', width = '300'><br><small>""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne <br> Private collection.</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg,"""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne <br> Private collection.",yes,no,"c(42.6594150831428, -71.1243087253846)"
Timothy Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6609218783167,-71.1410659165502,"<b>Timothy Flagg</b><br>Andover, MA, circa 1830<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg', width = '300'><br><small>""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne <br> Private collection.</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg,"""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne <br> Private collection.",yes,no,"c(42.6609218783167, -71.1410659165502)"
Martha Swan Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6586901972052,-71.1466023156557,"<b>Martha Swan Flagg</b><br>Andover, MA, circa 1830<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQazSv7S425vh1XdH2EFNr6clw1wcnz9mhT8Iv5trelALU60I6_JIQuOjZPjlcAzG_fw3yUlQFVxxYu/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vQazSv7S425vh1XdH2EFNr6clw1wcnz9mhT8Iv5trelALU60I6_JIQuOjZPjlcAzG_fw3yUlQFVxxYu/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.6586901972052, -71.1466023156557)"
John Flagg,1830,"Andover, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.6570580463977,-71.1274315141265,"<b>John Flagg</b><br>Andover, MA, circa 1830<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQuzSnS00-_BkocZRR8wnHOrbkq0zNxFcnsP1RhAi0nuy7kafCpYmj4tE_L9NVDeSiqEy8WRz6o3a8b/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vQuzSnS00-_BkocZRR8wnHOrbkq0zNxFcnsP1RhAi0nuy7kafCpYmj4tE_L9NVDeSiqEy8WRz6o3a8b/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.6570580463977, -71.1274315141265)"
"Reuben Bacon, Jr.",1830,"Bedford, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.4939436801663,-71.2868942931309,"<b>Reuben Bacon, Jr.</b><br>Bedford, MA, circa 1830<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTZn_g7SZRzbEY17mZ5AKtXZ6U4ixDBX8CmzjGuQFMYUkadxk4oHmH4XQtjSHDqBz6itHuLRaDacDxO/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTZn_g7SZRzbEY17mZ5AKtXZ6U4ixDBX8CmzjGuQFMYUkadxk4oHmH4XQtjSHDqBz6itHuLRaDacDxO/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.4939436801663, -71.2868942931309)"
Volunteer Infantry or Light Infantry Company Member,1825,"Boston, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.3568572536924,-71.0471263641583,"<b>Volunteer Infantry or Light Infantry Company Member</b><br>Boston, MA, circa 1825<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSZsGUQ3AsPKmuG2OtU6eG-TElheg3fQPmVhlQRiV5ASMWHOjFOfhr3DVKcqdzFxwzokXPXEAW1dWD1/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Collection of Tracy Goodnow.</small>",https://docs.google.com/drawings/d/e/2PACX-1vSZsGUQ3AsPKmuG2OtU6eG-TElheg3fQPmVhlQRiV5ASMWHOjFOfhr3DVKcqdzFxwzokXPXEAW1dWD1/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Collection of Tracy Goodnow.",yes,no,"c(42.3568572536924, -71.0471263641583)"
Sarah Warland Porter,1819,"Cambridge, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.3735840464009,-71.100462033254,"<b>Sarah Warland Porter</b><br>Cambridge, MA, circa 1819<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSPtvte192Yx0k6MjjhsJbhmBLjXHz1TP5fcx63rlmkv1jmXVCLDObmjDOPjWLRNTBKadG4qnh8aDC3/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vSPtvte192Yx0k6MjjhsJbhmBLjXHz1TP5fcx63rlmkv1jmXVCLDObmjDOPjWLRNTBKadG4qnh8aDC3/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.3735840464009, -71.100462033254)"
Israel Porter,1819,"Cambridge, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.3713958146772,-71.1168719901271,"<b>Israel Porter</b><br>Cambridge, MA, circa 1819<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTd6HmfvDsCasm4tcdWzvoxV5v_w2FqoGSuIH9z5HV8WP90qyG1NUVo5r6hCCBAb3XcgweMELOXaB_k/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTd6HmfvDsCasm4tcdWzvoxV5v_w2FqoGSuIH9z5HV8WP90qyG1NUVo5r6hCCBAb3XcgweMELOXaB_k/pub?w=960&h=720,"<em>Rufus Porter's Curious World</em>, published by the Pennsylvania State University Press and Bowdoin College Museum of Art <br> Private collection.",yes,no,"c(42.3713958146772, -71.1168719901271)"
Jonathan Smith and Pamelia Moors,1825,"Chelmsford, MA",Rufus Porter,portrait,Bowdoin,portrait,rp,42.595895915955,-71.379978884131,"<b>Jonathan Smith and Pamelia Moors</b><br>Chelmsford, MA, circa 1825<br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br><img src='https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg', width = '300'><br><small>""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne <br> Private collection.</small>",https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg,"""Revisiting Rufus Porter"" by Suzanne Rudnick Payne and Michael R. Payne <br> Private collection.",yes,no,"c(42.595895915955, -71.379978884131)"
