location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"Chesterville, ME",Fuller Dyke House,1834,Jonathan D. Poor,mural,signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westbrook, ME",Zebulon Trickey House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,T,T,,T,,T,
"Groton, MA",Oliver Prescott House,1835,Jonathan D. Poor,mural,signed,,,T,,,,,,,,,,,T,,T,,,T,,T,,,,,,,,,,,,,,,T
"East Baldwin, ME",Norton House,1840,Jonathan D. Poor,mural,signed,,T,,T,T,T,,,,,,,,T,,,T,,T,,,,T,,,T,,T,,T,T,T,T,,T,T
"Derry, NH",Adams Female Academy,1822,Porter School,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T
"Townsend, MA",Reed Mansion,1830,Porter School,mural,Lipman,,,T,,,,,,,,,,T,,,,T,,,,,T,T,,T,,,,,,,,,,T,T
"Bethel, ME",Moses Mason House,1835,Jonathan D. Poor,mural,tradition,T,,,,,,,T,,,,,,,,T,,,T,,,,T,,,,,,,,T,,,,,T
"Bedford, MA",Job Lane House,1830,Porter School,mural,Lipman,,,T,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,,,
"East Jaffrey, NH",Prescott Tavern,1824,Porter School,mural,MFA,,,,,,,,,,,,,,,,,,,,T,,,,,,,T,,,,,,,,T,T
"Jaffrey, NH",John Prescott House,1824,Porter School,mural,Lefko,,,,,,,,,,,,,,,,,T,,T,,,,,,,,T,,,,,,,,,T
"Greene, ME",Hill House,1830,Porter School,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridgton, ME",Nathan Church House,1830,Porter School,mural,RPM,T,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,T,,,
"Westwood, MA",Allen House,1838,Rufus Porter and Stephen Twombly Porter,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason, NH",Joseph Saunders House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farmington, ME",Jonathan Cushman House,1830,Jonathan D. Poor and Paine,mural,tradition,,,,,,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,
"Farmington, ME",William Gilman House,1830,Jonathan D. Poor and Paine,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryant Pond, ME",Whitman Homestead,1835,Jonathan D. Poor,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vienna, ME",Nathaniel Whittier House,1833,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vienna, ME",Gilman Batchelder House,1833,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vienna, ME",Unidentified House,1833,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesterville, ME",Thomas Austin House,1834,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Vernon, ME",Arthur Gordon House,1835,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turner, ME",Unidentified House,1830,Orison Wood,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyme, NH",Dennis House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland, ME",Ellis Place,1827,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billerica, MA",Dyer House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Boxford, MA",Hovey House,1838,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wakefield, MA",Lilly Eaton House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
