subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,geometry
Fuller Dyke House,1834,"Chesterville, ME",Jonathan D. Poor,mural,signed,jdp,jdp,44.5485162031947,-70.0800605008645,"<b>Fuller Dyke House</b><br>Chesterville, ME, circa 1834<br>Signed by Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=732', width = '300'><br><small>House burned down in 1905.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=732,House burned down in 1905.,no,"c(44.5485162031947, -70.0800605008645)"
Allen House,1838,"Westwood, MA",Rufus Porter and Stephen Twombly Porter,mural,Lipman,rp_mural,rp,42.2166620312497,-71.2331805061572,"<b>Allen House</b><br>Westwood, MA, circa 1838<br>Attributed to Rufus Porter and Stephen Twombly Porter by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=832', width = '300'><br><small>House burned down in 1905.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=832,House burned down in 1905.,no,"c(42.2166620312497, -71.2331805061572)"
Joseph Saunders House,1825,"Mason, NH",Porter School,mural,Lipman,school,school,42.7473307336165,-71.7769218610659,"<b>Joseph Saunders House</b><br>Mason, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=779', width = '300'><br><small>House burned down in 1917.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=779,House burned down in 1917.,no,"c(42.7473307336165, -71.7769218610659)"
Jonathan Cushman House,1830,"Farmington, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6692305076154,-70.1511349695962,"<b>Jonathan Cushman House</b><br>Farmington, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=747', width = '300'><br><small>House burned down in 1944.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=747,House burned down in 1944.,no,"c(44.6692305076154, -70.1511349695962)"
William Gilman House,1830,"Farmington, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6717594994889,-70.1466160210022,"<b>William Gilman House</b><br>Farmington, ME, circa 1830<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=748', width = '300'><br><small>House burned down in 1967.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=748,House burned down in 1967.,no,"c(44.6717594994889, -70.1466160210022)"
Whitman Homestead,1835,"Bryant Pond, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.4023789518981,-70.5861331733883,"<b>Whitman Homestead</b><br>Bryant Pond, ME, circa 1835<br>Attributed to Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=727', width = '300'><br><small>House burned down in the 1940s.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=727,House burned down in the 1940s.,no,"c(44.4023789518981, -70.5861331733883)"
Nathaniel Whittier House,1833,"Vienna, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.532722201036,-69.983169878402,"<b>Nathaniel Whittier House</b><br>Vienna, ME, circa 1833<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=736', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=736,House burned down.,no,"c(44.532722201036, -69.983169878402)"
Gilman Batchelder House,1833,"Vienna, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5313158043834,-69.9714873525384,"<b>Gilman Batchelder House</b><br>Vienna, ME, circa 1833<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=737', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=737,House burned down.,no,"c(44.5313158043834, -69.9714873525384)"
Unidentified House,1833,"Vienna, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5350920387192,-69.9922465735392,"<b>Unidentified House</b><br>Vienna, ME, circa 1833<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=739', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=739,House burned down.,no,"c(44.5350920387192, -69.9922465735392)"
Thomas Austin House,1834,"Chesterville, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.5494375176201,-70.0866556086946,"<b>Thomas Austin House</b><br>Chesterville, ME, circa 1834<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=742', width = '300'><br><small>House burned down.</small>",https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=960&h=742,House burned down.,no,"c(44.5494375176201, -70.0866556086946)"
